"","X","State","Row.ID","Order.ID","Order_Date","Ship.Date","Ship_Mode","Customer.ID","Customer_Name","Segment","City","Region","Product_ID","Category","Sub_Category","Sales","Quantity","Discount","Profit","Latitude","Longitude","code"
"1",1,"Alabama",4937,"CA-2017-150931",2017-01-06,"1/13/2017","Standard Class","DP-13390","Dennis Pardue","Home Office","Tuscaloosa","South","OFF-BI-10004728","Office Supplies","Binders",33.74,7,0,15.5204,32.6010112,-86.6807365,1
"2",2,"Alabama",2016,"CA-2016-145905",2016-09-18,"9/23/2016","Standard Class","AM-10705","Anne McFarland","Consumer","Auburn","South","OFF-ST-10003716","Office Supplies","Storage",900.08,4,0,117.0104,32.6010112,-86.6807365,1
"3",3,"Alabama",3706,"CA-2015-104941",2015-06-13,"6/19/2015","Standard Class","DH-13075","Dave Hallsten","Corporate","Decatur","South","OFF-PA-10003363","Office Supplies","Paper",32.4,5,0,15.552,32.6010112,-86.6807365,1
"4",4,"Alabama",80,"CA-2016-127208",2016-06-12,"6/15/2016","First Class","SC-20770","Stewart Carmichael","Corporate","Decatur","South","OFF-AP-10002118","Office Supplies","Appliances",208.16,1,0,56.2032,32.6010112,-86.6807365,1
"5",5,"Alabama",6255,"CA-2015-151624",2015-09-08,"9/14/2015","Standard Class","VW-21775","Victoria Wilson","Corporate","Montgomery","South","FUR-FU-10001731","Furniture","Furnishings",21.36,8,0,8.1168,32.6010112,-86.6807365,1
"6",6,"Alabama",6924,"CA-2015-134257",2015-03-16,"3/19/2015","Second Class","MS-17710","Maurice Satty","Consumer","Auburn","South","OFF-EN-10003845","Office Supplies","Envelopes",7.38,2,0,3.3948,32.6010112,-86.6807365,1
"7",7,"Alabama",2741,"CA-2017-122707",2017-04-16,"4/18/2017","First Class","EB-13750","Edward Becker","Corporate","Hoover","South","TEC-AC-10004227","Technology","Accessories",25.98,2,0,1.5588,32.6010112,-86.6807365,1
"8",8,"Alabama",9011,"CA-2017-127803",2017-05-19,"5/23/2017","Standard Class","ND-18460","Neil Ducich","Corporate","Huntsville","South","OFF-BI-10001787","Office Supplies","Binders",26.16,4,0,12.8184,32.6010112,-86.6807365,1
"9",9,"Alabama",2015,"CA-2016-145905",2016-09-18,"9/23/2016","Standard Class","AM-10705","Anne McFarland","Consumer","Auburn","South","OFF-PA-10000533","Office Supplies","Paper",13.08,2,0,6.0168,32.6010112,-86.6807365,1
"10",10,"Alabama",3269,"CA-2014-143840",2014-05-22,"5/29/2014","Standard Class","EH-14185","Evan Henry","Consumer","Decatur","South","TEC-PH-10003171","Technology","Phones",44.95,1,0,12.586,32.6010112,-86.6807365,1
"11",11,"Alabama",2014,"CA-2016-145905",2016-09-18,"9/23/2016","Standard Class","AM-10705","Anne McFarland","Consumer","Auburn","South","FUR-CH-10001854","Furniture","Chairs",350.98,1,0,84.2352,32.6010112,-86.6807365,1
"12",12,"Alabama",1578,"CA-2016-154403",2016-05-23,"5/27/2016","Standard Class","AP-10720","Anne Pryor","Home Office","Florence","South","OFF-PA-10001526","Office Supplies","Paper",4.98,1,0,2.4402,32.6010112,-86.6807365,1
