"","Row.ID","Order.ID","Order.Date","Ship.Date","Ship.Mode","Customer.ID","Customer.Name","Segment","City","State","Region","Product.ID","Category","Sub.Category","Sales","Quantity","Discount","Profit","Code"
"1",1,"CA-2016-152156","11/8/2016","11/11/2016","Second Class","CG-12520","Claire Gute","Consumer","Henderson","Kentucky","South","FUR-BO-10001798","Furniture","Bookcases",261.96,2,0,41.9136,21
"2",2,"CA-2016-152156","11/8/2016","11/11/2016","Second Class","CG-12520","Claire Gute","Consumer","Henderson","Kentucky","South","FUR-CH-10000454","Furniture","Chairs",731.94,3,0,219.582,21
"3",3,"CA-2016-138688","6/12/2016","6/16/2016","Second Class","DV-13045","Darrin Van Huff","Corporate","Los Angeles","California","West","OFF-LA-10000240","Office Supplies","Labels",14.62,2,0,6.8714,6
"4",4,"US-2015-108966","10/11/2015","10/18/2015","Standard Class","SO-20335","Sean O'Donnell","Consumer","Fort Lauderdale","Florida","South","FUR-TA-10000577","Furniture","Tables",957.5775,5,0.45,-383.031,12
"5",5,"US-2015-108966","10/11/2015","10/18/2015","Standard Class","SO-20335","Sean O'Donnell","Consumer","Fort Lauderdale","Florida","South","OFF-ST-10000760","Office Supplies","Storage",22.368,2,0.2,2.5164,12
"6",6,"CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","Los Angeles","California","West","FUR-FU-10001487","Furniture","Furnishings",48.86,7,0,14.1694,6
"7",7,"CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","Los Angeles","California","West","OFF-AR-10002833","Office Supplies","Art",7.28,4,0,1.9656,6
"8",8,"CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","Los Angeles","California","West","TEC-PH-10002275","Technology","Phones",907.152,6,0.2,90.7152,6
"9",9,"CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","Los Angeles","California","West","OFF-BI-10003910","Office Supplies","Binders",18.504,3,0.2,5.7825,6
"10",10,"CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","Los Angeles","California","West","OFF-AP-10002892","Office Supplies","Appliances",114.9,5,0,34.47,6
"11",11,"CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","Los Angeles","California","West","FUR-TA-10001539","Furniture","Tables",1706.184,9,0.2,85.3092,6
"12",12,"CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","Los Angeles","California","West","TEC-PH-10002033","Technology","Phones",911.424,4,0.2,68.3568,6
